asset_no,chapter_no,chapter_name,category,question_type,item_no,subpart_label,question_file,solution_file,solution_page_count
001,15,2015年真题,大连理工852真题,选择题,01,题1,pb_15-01_question.png,pb_15-01_solution.png,1
002,15,2015年真题,大连理工852真题,选择题,02,题2,pb_15-02_question.png,pb_15-02_solution.png,1
003,15,2015年真题,大连理工852真题,选择题,03,题3,pb_15-03_question.png,pb_15-03_solution.png,1
004,15,2015年真题,大连理工852真题,选择题,04,题4,pb_15-04_question.png,pb_15-04_solution.png,1
005,15,2015年真题,大连理工852真题,选择题,05,题5,pb_15-05_question.png,pb_15-05_solution.png,1
006,15,2015年真题,大连理工852真题,计算题,06,题6,pb_15-06_question.png,pb_15-06_solution.png,2
007,15,2015年真题,大连理工852真题,计算题,07,题7,pb_15-07_question.png,pb_15-07_solution.png,1
008,15,2015年真题,大连理工852真题,计算题,08,题8,pb_15-08_question.png,pb_15-08_solution.png,1
009,15,2015年真题,大连理工852真题,计算题,09,题9,pb_15-09_question.png,pb_15-09_solution.png,1
010,15,2015年真题,大连理工852真题,计算题,10,题10,pb_15-10_question.png,pb_15-10_solution.png,2
011,15,2015年真题,大连理工852真题,计算题,11,题11,pb_15-11_question.png,pb_15-11_solution.png,1
012,15,2015年真题,大连理工852真题,计算题,12,题12,pb_15-12_question.png,pb_15-12_solution.png,2
